ID_CLIENTE,QTD_SOL_LAST_30D,DAYS_SINCE_LAST,N_UNIQUE_DATES,QTD_REGISTROS_CLIENTE,JA_TENTOU_CANCELAR_max,QTD_FINANCEIRO_mean,QTD_SUPORTE_TECNICO_mean,QTD_OUTROS_mean,QTD_ADMINISTRATIVO_mean,TAXA_CONTATO_DIA
167683,1,207,14,18,1,5,4,2,3,18
160839,1,0,17,21,1,10,3,3,0,21
181020,1,4,15,16,1,13,1,0,0,16
161982,4,7,27,31,0,25,3,0,3,31
60305,4,3,61,79,1,45,24,9,6,79
100054,1,30,29,42,1,25,5,4,0,42
106453,1,8,28,31,1,23,2,1,0,31
187196,2,9,4,5,0,2,0,1,1,5
176381,4,11,35,47,0,40,4,2,1,47
134392,1,21,22,32,1,17,10,1,0,32
191963,3,3,9,10,1,7,2,0,0,10
142263,0,85,21,30,1,15,11,0,2,30
192557,4,2,26,34,1,14,7,8,1,34
138403,0,50,26,33,1,17,3,5,5,33
195091,1,0,11,16,1,11,2,0,1,16
173151,0,36,16,18,0,11,4,3,0,18
165833,1,0,7,8,1,4,2,0,1,8
158913,0,100,23,27,0,23,4,0,0,27
154435,0,31,9,10,0,7,2,1,0,10
191994,4,27,13,18,0,7,2,2,6,18
107924,0,400,13,21,1,2,8,8,0,21
160703,0,160,14,18,0,7,6,3,2,18
195057,0,125,3,3,0,1,1,0,1,3
139032,0,92,7,10,0,3,3,2,1,10
127325,0,32,35,40,1,16,12,1,5,40
171161,1,30,14,20,1,13,1,0,0,20
180478,0,44,9,11,1,3,3,1,2,11
74394,0,115,6,6,0,4,1,1,0,6
81699,0,46,24,30,0,23,1,3,3,30
190163,1,28,7,8,0,0,7,1,0,8
144532,1,11,12,14,0,6,6,1,0,14
134077,0,136,2,3,0,2,0,0,0,3
128403,1,11,15,21,1,1,12,6,1,21
170523,2,26,6,7,0,3,1,2,0,7
124896,3,7,26,43,1,15,6,5,2,43
165647,4,9,30,35,1,17,5,4,3,35
194240,0,204,1,1,0,1,0,0,0,1
116816,2,26,11,17,1,0,15,1,0,17
118311,0,57,20,31,1,4,8,12,1,31
163810,0,85,18,20,0,16,2,2,0,20
147124,1,13,5,7,0,1,4,1,0,7
109762,3,23,14,18,0,1,9,4,1,18
134318,0,417,4,4,0,2,1,1,0,4
133938,1,11,13,13,1,5,1,2,3,13
191727,0,113,1,1,0,0,0,0,0,1
185262,3,2,12,12,0,12,0,0,0,12
96349,2,6,6,6,1,2,1,1,0,6
187781,0,57,23,38,1,10,4,6,8,38
168141,0,321,2,3,0,3,0,0,0,3
162236,0,120,23,25,0,23,1,1,0,25
179361,0,260,2,3,0,1,0,1,0,3
142944,0,221,6,6,0,6,0,0,0,6
193494,1,16,3,3,0,3,0,0,0,3
160914,1,10,22,28,1,7,8,7,5,28
113730,0,300,4,4,0,0,3,1,0,4
150951,0,99,27,37,1,31,5,0,0,37
186899,0,224,4,4,0,0,2,2,0,4
49371,3,14,25,32,1,11,12,5,3,32
149490,1,10,11,11,1,6,0,0,3,11
187040,0,317,2,2,0,0,2,0,0,2
181786,4,7,41,57,1,45,5,3,2,57
192552,0,51,8,12,1,5,4,2,0,12
146323,0,527,3,3,1,0,2,0,0,3
136100,1,14,38,48,1,31,6,3,7,48
141183,0,87,18,20,0,12,3,1,4,20
124973,1,29,7,11,1,5,3,0,2,11
108953,3,3,29,35,1,20,9,1,0,35
179687,4,6,14,20,0,11,4,4,1,20
150018,0,32,31,42,1,9,15,8,5,42
61751,1,16,21,25,0,11,9,4,1,25
98993,0,120,4,5,0,1,4,0,0,5
158126,1,16,13,16,1,12,1,0,0,16
146540,1,28,35,45,1,26,6,2,2,45
182638,0,91,38,53,1,34,3,6,7,53
123621,0,108,17,26,1,8,10,3,2,26
141306,1,24,8,9,0,6,3,0,0,9
169473,2,30,29,39,0,20,17,1,1,39
195894,2,2,4,7,0,2,0,1,4,7
167426,2,2,25,27,1,12,1,0,0,27
136951,2,21,20,30,1,15,6,3,3,30
114203,3,1,31,40,1,24,8,0,0,40
191449,0,137,1,1,0,1,0,0,0,1
180655,0,85,11,12,0,1,9,0,0,12
98915,1,1,46,63,1,35,11,6,2,63
72766,0,397,19,22,1,7,10,3,0,22
133587,1,2,39,52,1,23,8,2,2,52
121208,4,7,37,44,1,37,2,1,0,44
115697,1,22,26,39,1,22,11,1,1,39
89497,0,114,12,13,0,8,4,0,0,13
164085,1,9,20,22,1,10,3,2,0,22
140560,4,3,59,79,1,24,25,6,4,79
192716,3,0,23,33,1,16,4,5,7,33
178181,1,4,24,29,1,16,3,1,5,29
138753,2,3,32,42,1,19,11,4,2,42
26233,0,38,17,21,1,6,5,3,0,21
155088,2,3,19,30,1,10,15,0,0,30
149498,1,21,10,10,1,2,2,0,3,10
99701,0,31,22,27,1,16,5,1,0,27
83095,4,24,40,54,0,43,4,6,1,54
145862,1,4,37,58,1,23,20,7,1,58
130057,1,23,6,7,0,3,2,1,1,7
100145,0,50,18,28,1,9,5,5,7,28
158465,0,330,6,6,0,6,0,0,0,6
149550,0,154,9,9,1,7,1,0,0,9
182308,1,16,23,25,0,24,0,0,0,25
160525,0,71,29,36,1,26,5,4,0,36
176779,0,167,10,14,0,11,2,1,0,14
44496,0,508,6,7,0,0,5,2,0,7
179581,0,527,4,5,0,0,2,2,1,5
172226,0,76,8,8,0,5,2,0,1,8
129786,0,92,9,12,1,1,3,1,4,12
154330,4,11,46,72,1,39,11,4,8,72
163155,0,98,30,43,1,19,10,7,3,43
175587,1,11,6,6,0,0,6,0,0,6
180080,0,127,6,7,0,2,3,1,1,7
145954,0,71,7,7,0,0,4,3,0,7
107771,0,395,4,4,0,3,0,1,0,4
128798,0,32,9,12,0,2,6,2,2,12
177454,0,527,1,1,0,0,1,0,0,1
193370,0,103,3,6,1,1,2,1,1,6
174207,1,23,20,22,0,21,0,1,0,22
180714,1,4,30,40,1,14,4,5,8,40
168086,0,353,7,12,0,1,9,2,0,12
157488,0,176,9,10,0,8,1,1,0,10
119636,1,11,10,14,1,3,6,2,1,14
46778,0,36,19,26,1,15,5,2,0,26
188389,3,15,19,22,0,18,4,0,0,22
104284,1,1,20,34,1,3,20,4,2,34
148159,0,43,5,9,0,0,4,4,0,9
175050,3,9,21,24,1,18,3,1,0,24
137237,2,28,14,24,1,8,9,4,2,24
165002,4,3,61,79,1,45,23,12,6,79
111027,0,53,14,16,0,6,9,1,0,16
152925,0,278,10,12,0,0,10,1,0,12
145665,0,60,11,14,1,5,1,2,0,14
194331,1,30,1,1,0,1,0,0,0,1
175323,2,14,12,14,0,13,1,0,0,14
188934,0,79,8,12,0,7,4,1,0,12
120893,4,8,10,18,1,2,8,4,1,18
154579,1,13,8,11,1,4,4,1,0,11
166869,0,53,7,8,0,3,3,2,0,8
157571,2,6,29,40,1,16,12,5,1,40
185379,0,156,14,16,0,13,2,0,1,16
1380,2,28,39,49,0,22,13,8,5,49
167914,0,71,18,18,0,17,1,0,0,18
169414,0,126,31,36,0,29,4,3,0,36
124738,0,133,3,3,0,1,0,2,0,3
123082,0,76,21,25,1,14,5,4,0,25
175359,0,37,48,59,1,39,11,4,4,59
92857,1,30,10,14,0,6,3,3,1,14
195560,0,102,2,3,0,0,2,1,0,3
189329,1,28,6,6,0,4,0,1,0,6
139395,4,17,30,43,1,28,6,3,2,43
178999,3,0,18,23,0,14,7,1,1,23
197291,2,6,3,3,0,2,1,0,0,3
157237,0,49,21,22,0,21,1,0,0,22
184283,2,7,30,48,1,34,6,4,1,48
144806,0,272,1,2,0,0,1,1,0,2
108515,0,80,9,15,0,3,3,2,7,15
185606,1,20,7,9,0,0,3,3,3,9
172166,3,1,23,38,1,24,5,6,2,38
49919,0,206,12,14,0,0,13,1,0,14
130771,0,171,9,12,1,6,4,1,0,12
123086,1,1,26,38,1,23,7,3,1,38
133609,0,171,6,10,0,3,2,4,0,10
199430,0,39,1,1,0,0,0,1,0,1
184280,2,2,6,6,0,4,1,0,0,6
117296,1,24,22,25,0,23,2,0,0,25
120415,0,115,10,13,1,3,2,3,0,13
151701,0,129,2,2,0,2,0,0,0,2
182714,2,2,9,9,1,7,0,0,0,9
181146,0,85,2,2,0,1,0,0,1,2
171757,1,8,24,29,0,21,5,2,1,29
167118,0,36,5,7,0,4,2,1,0,7
32957,1,9,21,27,0,24,3,0,0,27
177256,0,137,4,5,0,2,0,2,1,5
186641,2,4,25,29,0,5,12,6,5,29
188232,0,162,18,24,1,11,6,0,4,24
192022,0,228,5,5,0,2,0,2,1,5
186825,0,58,10,13,1,8,1,0,0,13
194790,2,15,3,4,1,0,1,0,1,4
149736,0,97,13,13,1,10,0,0,2,13
149738,3,7,46,64,1,45,4,4,3,64
193865,2,28,48,79,1,45,0,1,0,79
82830,0,136,18,29,1,13,7,3,4,29
173749,0,179,21,22,0,21,1,0,0,22
122415,4,3,55,62,1,45,4,0,3,62
96835,0,69,12,17,0,7,5,2,3,17
173637,0,527,2,2,0,0,2,0,0,2
152280,1,4,28,31,1,13,4,2,2,31
193977,4,0,12,14,1,7,1,5,0,14
133791,3,2,29,44,1,35,5,1,2,44
90454,2,27,12,16,0,9,0,4,2,16
76838,0,71,10,12,0,5,3,1,0,12
190173,0,333,1,1,0,1,0,0,0,1
96741,1,24,13,14,0,1,8,1,3,14
195676,0,93,3,3,0,2,0,1,0,3
159232,2,16,10,12,0,1,7,4,0,12
129215,4,3,44,67,1,45,7,2,2,67
109054,3,2,34,46,1,26,5,4,5,46
159408,1,9,18,23,1,14,2,0,0,23
143925,0,59,29,30,0,29,1,0,0,30
182085,0,107,34,41,1,0,23,12,1,41
189915,0,63,11,12,0,7,1,3,1,12
176592,0,133,5,10,1,7,2,0,0,10
173279,0,232,9,11,0,5,4,1,1,11
6839,4,27,34,45,1,2,20,9,8,45
50039,0,69,45,50,1,39,6,1,1,50
156302,0,98,31,39,0,38,0,1,0,39
196294,0,102,2,2,0,2,0,0,0,2
136789,1,30,31,39,1,10,17,4,2,39
150796,1,4,28,42,1,20,10,5,3,42
179982,1,29,30,44,1,11,14,6,5,44
149023,2,2,34,44,1,28,9,2,0,44
194630,4,11,10,15,0,9,4,1,1,15
102363,1,30,30,36,1,19,8,4,2,36
